"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Vienistabas dzivoklis atjaunota tris eku kompleksa ""Redera nami""","1",18,"Renov.",42000,1,5,"Centrs","Maskavas 48a","Maskavas"
"Ipasnieks pardod telpu kura var ierikot dzivokli, ofisu, veikalu","1",22,"Specpr.",16900,1,3,"Ilguciems","Slokas 106","Slokas"
"Cena autostavvieta. 

Saulains dzivoklis rekonstrueta maja. 

Dz","3",109,"Renov.",275301,5,6,"Centrs","Valdemara 37","Valdemara"
"Pardod gaisu, saulainu 1-istabu dzivokli Jugla, kooperativa ""Zve","1",31,"Hrusc.",32000,4,5,"Jugla","Juglas 43","Juglas"
"Pardod dzivokli, kurs parbuvets par 5 atseviskiem dzivokliem. Dz","5",142,"P. kara",365000,3,5,"Centrs","Kalnina 1","Kalnina"
"Divistabu dzivoklis atrodas atjaunota tris eku kompleksa ""Redera","2",46,"Renov.",92000,4,5,"Centrs","Maskavas 48a","Maskavas"
"Saimniece pardod zalaja zona ieskautu jauku dzivokli ar atsevisk","3",60,"P. kara",54900,1,2,"Centrs","Katrinas 8","Katrinas"
"Ipasnieks pardod plasu un gaisu dzivokli 83.1 m2 platiba 3.stava","3",83,"Renov.",120000,3,5,"Maskavas priekspilseta","Kraslavas 22","Kraslavas"
"Ipasnieks pardod. Eka atrodas viena no labakajam Rigas vietam bl","3",105,"Renov.",220500,6,6,"Centrs","Raina bulv. 3","Raina"
"Ipasnieks pardod 2 istabu dzivokli Stalina laika maja netalu no","2",50,"Stalina",80000,2,4,"Centrs","Katrinas d. 22","Katrinas"
"Ar Rigas Domes atbalstu renoveta eka pasa Rigas centra atremonte","3",52,"P. kara",51480,1,2,"Centrs","Caka 62B","Caka"
"Ipasnieks pardod lielisku boutique 3-istabu dzivokli (84m2) Riga","3",84,"P. kara",320000,5,5,"Centrs","Baznicas 27/29","Baznicas"
"Ir vertejums uz 120k eur(statuss - dzivoklis), tiek piedavats dz","3",100,"Renov.",98000,6,6,"Centrs","Blaumana 9","Blaumana"
"Pardodas 2-istabas dzivoklis kosmetisko remontu, divam izoletam","2",49,"LT proj.",48600,1,5,"Ilguciems","Motoru 7","Motoru"
"SIA ''Kaivas Residential'' piedava iegadaties lielisku divistabu","2",50,"Jaun.",67365,1,5,"Mezciems","Kaivas 50-192D","Kaivas"
"SIA ''Kaivas Residential'' piedava iegadaties dzivokli jaunaja p","2",55,"Jaun.",62675,1,5,"Mezciems","Kaivas 50-38D","Kaivas"
"Attistitajs pardod dzivoklus ar premium klases apdari Rigas vest","2",58,"Renov.",174900,6,6,"Centrs","Blaumana 12","Blaumana"
"Pardod gaisu dzivokli ar pardomatu planojumu. Majigs un silts dz","3",69,"103.",77000,4,5,"Purvciems","Nicgales 56","Nicgales"
"Ipasnieks pardod fantastisku, loti gaisu divu stavu dzivokli ert","3",88,"Specpr.",173000,5,6,"Centrs","Tallinas 37","Tallinas"
"Pardodu lielu ( 66, 7 kv. m. ) 2-istabu dzivokli Riga, Lugazu ie","2",67,"Stalina",74000,2,2,"Centrs","Lugazu 12","Lugazu"
"Attistitajs pardod plasu un gaisu 2-istabu dzivokli restaureta e","2",64,"Renov.",137170,1,6,"Centrs","Birznieka-Upisa 10A","Birznieka"
"Attistitajs Yit Latvija, piedava iegadaties 3-istabu dzivokli ja","3",64,"Jaun.",143300,2,4,"Imanta","Anninmuizas 19","Anninmuizas"
"Attistitajs Yit Latvija, piedava iegadaties 3-istabu dzivokli ja","3",73,"Jaun.",152200,1,4,"Imanta","Anninmuizas 19","Anninmuizas"
"Projekta attistitajs piedava iegadaties dzivoklis, kas atrodas p","3",72,"Jaun.",180000,4,7,"Centrs","Rupniecibas 50","Rupniecibas"
"Divas gulamistabas. Pabeigta iekseja apdare. 

Lakoniskas formas","3",80,"Jaun.",2e+05,4,7,"Centrs","Rupniecibas 50","Rupniecibas"
"Pardodam labi remontetu vienistabas dzivokli stabila koka maja 1","1",26,"P. kara",17000,1,2,"Mangali","Ezera 23","Ezera"
"Pardodu 1 istabas dzivokli stalina projekta ekas ceturtaja stava","1",41,"Stalina",40000,4,4,"Maskavas priekspilseta","Lomonosova 7","Lomonosova"
"Äîì íàõîäèòñÿ íåäàëåêî îò öåíòðà, 10 ìèíóò åçäû, â òèõîì ìåñòå.","2",46,"103.",44500,4,5,"Ziepniekkalns","Kekavas 5","Kekavas"
"Pardosana tiek piedavats silts un saulains dzivoklis 

Dzivoklis","2",38,"LT proj.",44100,5,5,"Purvciems","Stirnu 41","Stirnu"
"Pardodu 3 istabu dzivokli pec remonta. Visas istabas izoletas un","3",78,"Cehu pr.",85000,2,12,"Agenskalns","Jurmalas g. 7","Jurmalas"
"Pardod dzivokli 22.-23. Stava, projekts Solaris. 89 m2 dzivoklis","2",89,"Jaun.",185000,22,24,"Imanta","Anninmuizas 43","Anninmuizas"
"Ïðîäàåòñÿ ïðåêðàñíàÿ, ñâåòëàÿ êâàðòèðà ñî ñâåæèì ðåìîíòîì â êèðï","2",48,"Hrusc.",53500,1,2,"Plavnieki","Slavu 23/3","Slavu"
"Pardod gaisu un ekonomisku tikko pec remonta, mebeletu 1 istabu","1",34,"Renov.",52500,3,5,"Centrs","Lacplesa 116","Lacplesa"
"Ïðîäàåòñÿ ñâåòëàÿ êâàðòèðà îòëè÷íîì ìåñòå. 



Çàìåíåíû îêíà íà","3",64,"602.",56000,8,9,"Purvciems","Dzelzavas 25","Dzelzavas"
"Ipasnieks pardod plasu 2 istabu dzivokli Avotu iela netalu no Bl","2",59,"P. kara",77000,3,5,"Centrs","Avotu 8","Avotu"
"Ïðîäàåòñÿ ïðîñòîðíàÿ êâàðòèðà ñ ëîäæèåé. 



Ïðèÿòíûé âèä èç îêî","1",39,"M. gim.",31700,5,5,"Teika","Ropazu 87","Ropazu"
"Ipasnieks pardod mansarda stava dzivokli, pirms kara koka maja.","3",55,"P. kara",72000,3,3,"Centrs","Klijanu 27","Klijanu"
"Ïðîäà¸òñÿ 4-êîìíàòíàÿ îòðåìîíòèðîâàííàÿ êâàðòèðà ñ ïàðêîâî÷íûì ì","4",105,"Jaun.",172000,6,2,"Zolitude","Anninmuizas 20","Anninmuizas"
"Ïðîäàì óíèêàëüíóþ 4 êîìíàòíóþ, ëåãàëüíî ïåðåïëàíèðîâàíà èç äâóõ","4",90,"Hrusc.",85900,5,5,"Kengarags","Lubanas 7 k-1","Lubanas"
"Pardodu 3 istabu dzivokli lokomotives iela. 

Visas istabas izol","3",73,"Cehu pr.",74000,4,12,"Kengarags","Lokomotives 52","Lokomotives"
"Jauns, kvalitati<U+0304>vs dzivoklis tuvaja centra, renove<U+0304>ta ma<U+0304>ja ar","3",76,"Renov.",140000,3,6,"Centrs","Birznieka-Upisa 29","Birznieka"
"Îòëè÷íàÿ âîçìîæíîñòü äëÿ èíâåñòèöèé îäíîêîìíàòíàÿ êâàðòèðà â ñàì","1",56,"Stalina",74000,5,5,"Centrs","Riepnieku 2","Riepnieku"
"Rus/ Lat/ Eng. 



Èäåàëüíîå ìåñòî äëÿ êâàðòèðû â ñòàðîì ãîðîäå,","1",37,"Stalina",78000,4,5,"Vecriga","Grecinieku 11","Grecinieku"
"Pardod gaisu divistabu dzivokli mieriga un klusa Rigas rajona.","2",49,"Hrusc.",37000,3,5,"Sarkandaugava","Sliezu 33","Sliezu"
"Gaiss 3 istabu dzivoklis mieriga un klusa Rigas rajona, kas labi","3",58,"P. kara",30000,2,2,"Vecmilgravis","Anitas 2","Anitas"
"Saimnieks pardod vienistabas dzivokli ar remontu: nomainiti pake","1",36,"Cehu pr.",44000,5,12,"Dzeguzkalns","Dzirciema 31","Dzirciema"
"Pardod saulainu, mebeletu 2 istabu dzivokli. Istabas izoletas, a","2",46,"103.",59000,3,5,"Teika","Apes 12","Apes"
"Plass, pilniba mebelets dzivoklis ar balkonu. No dzivokla pavera","3",107,"Jaun.",365000,5,6,"Centrs","Republikas laukums 3","Republikas"
