"Description","Rooms","m_sq","Series","Price","Floor_nr","Max_floors","Hood","Street_a","Street"
"Tiek pardots divistabu dzivoklis tikko pec remonta. 

Dzivokli i","2",34,"P. kara",44500,1,5,"Centrs","Lacplesa 114","Lacplesa"
"Ipasums jugensdstila maja, izvietots 3 stavos, ar 5 ieejam, savu","Citi",608,"P. kara",280000,1,7,"Centrs","Brivibas 70","Brivibas"
"Ïðîäà¸òñÿ êâàðòèðà, â ñàìîì öåíòðå ïóðâöèåìñà, áåç êðèäèòîâ, çåì","2",86,"Jaun.",143000,5,6,"Purvciems","Puces 49","Puces"
"Pardod 2 istabu dzivokli jaunaja projekta Kengaraga, Prusu iela","2",44,"Jaun.",56026,4,5,"Kengarags","Prusu 4","Prusu"
"Pardod piecu istabu dzivokli otraja stava, kas prasa kapitalu re","5",137,"P. kara",145000,2,5,"Centrs","Caka 52","Caka"
"Agrakaja ires nama, kas celts 1912.-1914. gada pec arhitektu N.","2",76,"Renov.",135000,2,6,"Centrs","Brivibas 84","Brivibas"
"Pardod 2 istabu dzivokli ar labu skatu no logiem. Zeme ipasuma.","2",47,"Specpr.",49500,8,9,"Sarkandaugava","Viestura pr. 39","Viestura"
"Parking, center, park, square. Stavvieta, parks, centrs, skvers.","2",48,"P. kara",112000,5,6,"Centrs","Dzirnavu 66","Dzirnavu"
"Pardod elitaru 2-istabu dzivokli Rigas klusaja centra, Elizabete","2",53,"Jaun.",195000,3,8,"Centrs","Elizabetes 39","Elizabetes"
"Ïðîäà¸òñÿ ñâåòëàÿ, óþòíàÿ, 2-õ êîìíàòíàÿ êâàðòèðà áåç ïîñðåäíèêî","2",60,"P. kara",74688,1,5,"Centrs","Terbatas 82","Terbatas"
"Dzivoklis istiem pilsetniekiem, moderna dzives stila piekritejie","2",68,"Jaun.",1e+05,6,24,"Sampeteris-Pleskodale","Lielirbes 11","Lielirbes"
"Avalon Rezidence - íîâûé ïðîåêò ñäàí â ýêñïëóàòàöèþ â 2006 ãîä","4",87,"Jaun.",195000,2,6,"Vecriga","13. janvara 21","13. janvara"
"Ïðîäàì áëàãîóñòðîåííóþ 4-õ êîìíàòíóþ êâàðòèðó, ïîñëå êàïèòàëüíîã","4",76,"Specpr.",82700,4,5,"Vecmilgravis","Vecmilgravja 6","Vecmilgravja"
"Ipasnieks pardod 2-istabu dzivokli Brivibas gatve 359. 4.stavs p","2",42,"Hrusc.",56500,4,5,"Jugla","Brivibas 359","Brivibas"
"Ïðîäà¸òñÿ 2õ êîìíàòíàÿ êâàðòèðà, 5é ýòàæ, 47 ì2, èçîëèðîâàííûå ê","2",47,"LT proj.",49000,5,5,"Kengarags","Visku 15","Visku"
"Pardod 1 istabas dzivokli Vaidavas iela. Dzivokla kopplatiba 30.","1",30,"Hrusc.",32000,3,5,"Purvciems","Vaidavas 2","Vaidavas"
"Pardosana skaists 2 istabu (67 kv/m) dzivoklis klusa privatmaju","2",67,"Specpr.",120000,2,7,"Imanta","Imantas 31","Imantas"
"Par samazinatu cenu, del apgrutinajumiem, ipasnieks pardod remon","2",39,"Jaun.",60000,2,6,"Centrs","Ganibu d. 13","Ganibu"
"Tiek pardots tris istabu dzivoklis ar skatu uz Saulrietu. Devita","3",62,"602.",82000,9,9,"Imanta","Zentenes 5","Zentenes"
"Tiek pardots silts, gaiss, plass 3-istabu dzivoklis jaunaja proj","3",73,"Jaun.",110000,5,9,"Plavnieki","Plavnieku 9","Plavnieku"
"Piedavajam iegadaties 3-istabu dzivokli Ilguciema. No dzivokla l","3",59,"467.",58900,7,9,"Ilguciems","Dzirciema 57","Dzirciema"
"Pardod unikalu un plasu dzivokli Rigas centra, Bruninieku iela 4","6",199,"P. kara",414000,2,6,"Centrs","Bruninieku 45","Bruninieku"
"Pardod dzivokli Skolas ielas 25 iekspagalma eka. Ja velies dzivo","3",78,"P. kara",121000,5,6,"Centrs","Skolas 25","Skolas"
"Pardod plasu un gaisu trisistabu dzivokli pasa Vecrigas sirdi. D","3",65,"P. kara",117000,2,3,"Vecriga","Grecinieku 3","Grecinieku"
"Õîçÿéêà ïðîäàåò êâàðòèðó â ñàìîì öåíòðå Ðèãè, Áðèâèáàñ/ Ãåðòðóäå","2",46,"Stalina",84500,6,6,"Centrs","Brivibas 66","Brivibas"
"Pardod loti plasu divistabu dzivokli, kuru nakotne var parbuvet","2",66,"Jaun.",87390,5,5,"Kengarags","Prusu 4","Prusu"
"Pardod gaisu un saulainu 3-istabu dzivokli jaunaja projekta Dien","3",71,"Jaun.",129900,5,5,"Ziepniekkalns","Vienibas g. 192","Vienibas"
"Tiek piedavats 2 istabu dzivoklis Rigas centra. 

Dzivoklis atro","2",43,"P. kara",80000,4,5,"Centrs","Merkela 6","Merkela"
"Ipasniece pardod 3 istabu dzivokli vecaja lietuviesu projekta. D","3",55,"LT proj.",49000,4,5,"Mangali","Mores 5","Mores"
"Uzsakam Dzivoklu Pardosanu Artilerijas 26. 3D tures links pievie","2",39,"Renov.",89900,1,4,"Centrs","Artilerijas 26","Artilerijas"
"Skaists, saulains un plass divistabu dzivoklis Rigas centra. Zem","2",63,"Renov.",135000,2,6,"Centrs","Terbatas 38","Terbatas"
"Uzsakam Dzivoklu Pardosanu Artilerijas 26.

3D tures links pievi","2",41,"Renov.",109445,2,4,"Centrs","Artilerijas 26","Artilerijas"
"Pardod majigu un gaumigu divistabu dzivokli jauna projekta .","2",52,"Jaun.",118000,1,25,"Imanta","Anninmuizas 41","Anninmuizas"
"Pardod plasu divlimenu 5 istabu dzivokli pilsetas centra. 



Sp","5",130,"P. kara",130000,1,6,"Centrs","Brivibas 159","Brivibas"
"Majigs vienistabas dzivoklis Agenskalna priedes. 

1. stavs, log","1",30,"Hrusc.",44500,1,6,"Agenskalns","Kristapa 16a","Kristapa"
"Gazes apkure, renoveta eka. 

Dzivoklis atrodas Rigas Centra uz","2",41,"Renov.",66000,4,5,"Centrs","Stabu 105","Stabu"
"Pardod gaisu un siltu 3 - istabu dzivoklis, laba tehniska stavok","3",64,"602.",65500,9,9,"Plavnieki","Plavnieku 3","Plavnieku"
"Ipasnieks pardod mebeletu 3 Istabu Dzivokli Rigas Centra.  2 Ist","3",75,"P. kara",115000,3,6,"Centrs","Gertrudes 69","Gertrudes"
"Ñîáñòâåííèöà ïðîäàåò â òèõîì öåíòðå Ðèãè î÷åíü óþòíóþ 3õ êîìíàòí","3",77,"Renov.",88900,1,2,"Centrs","Briana 15","Briana"
"Plass tris istabu dzivoklis renoveta maja, Vecriga. Nams renovet","3",136,"Renov.",199000,2,3,"Vecriga","Vagnera 12","Vagnera"
"Divistabu dzivoklis ar gazes apkuri. Zeme ipasuma. Loti labs pla","2",47,"P. kara",53000,1,5,"Centrs","Dagdas 5","Dagdas"
"Iespejama maina uz ipasumu Liepaja. Plass divistabu dzivoklis Sa","2",54,"P. kara",23800,1,3,"Sarkandaugava","Simana 9a","Simana"
"Pardosana 3 istabu dzivoklis Kengaraga pie Doles. 2 izoletas ist","3",60,"LT proj.",63500,4,5,"Kengarags","Maskavas 268k-3","Maskavas"
"Ðåäêî âñòðå÷àþùååñÿ ïðåäëîæåíèå â öåíòðå Ðèãè- êâàðòèðà â äîìå 1","3",83,"Specpr.",129000,2,5,"Centrs","Brivibas 92/94","Brivibas"
"Steidzami Tiek pardots plass un saulains tris istabu dzivoklis a","3",63,"602.",68900,5,9,"Plavnieki","Rudens 8","Rudens"
"Pardodu modernu divistabu dzivokli tuvaja Centra. 

Virtuve apvi","2",50,"P. kara",68250,2,4,"Maskavas priekspilseta","Daugavpils 54","Daugavpils"
"Dzivoklis ar ipasu sarmu pasa Rigas sirdi. 

Loti gaiss un plass","4",133,"Renov.",840000,7,7,"Vecriga","Valnu 21","Valnu"
"Ïðîäàåì 6 êîìí. êâàðòèðó ñ àâòîíîìíûì ãàçîâûì îòîïëåíèåì, êàìèíî","6",175,"P. kara",181000,4,4,"Centrs","Skolas 36a","Skolas"
"Si ipasuma iegadei ir iespejams sanemt bankas finansejumu lidz 9","3",75,"119.",92000,7,10,"Zolitude","Biezina 11","Biezina"
"Tiek piedavats iegadaties dzivokli, kas sastav no 3 izoletam ist","3",65,"Specpr.",60000,2,2,"Plavnieki","Ziguru 20","Ziguru"
"Êâàðòèðà ñâåòëàÿ çà ñ÷åò áîëüøîãî êîëè÷åñòâà áîëüøèõ îêîí. Ïîä ê","2",73,"Jaun.",119000,1,5,"Mezaparks","Ezermalas 13","Ezermalas"
"Pardodam 2 istabu dzivokli pie pasa Ziedondarza parka. Dzivoklis","2",46,"P. kara",69000,3,6,"Centrs","Caka 82","Caka"
"Laba cena par dzivokli izcila vieta. 

Panoramas skats no logiem","5",136,"P. kara",270000,6,7,"Centrs","Teatra 12","Teatra"
"Ïðîäàåòñÿ î÷åíü óþòíàÿ, ïîëíîñòüþ îòðåìîíòèðîâàííàÿ êâàðòèðà. Íå","3",63,"602.",74500,9,9,"Imanta","Dammes 13","Dammes"
"Ïðîäàåòñÿ 2-õ êîìíàòíàÿ êâàðòèðà â êëàññè÷åñêîì ñòèëå â ñàìîì öå","2",76,"Renov.",152400,5,6,"Centrs","Raina bulv. 3","Raina"
"Svaigi un rupigi izremontets dzivoklis labakaja vieta Ilguciema.","2",49,"LT proj.",54900,4,5,"Ilguciems","Palangas 1","Palangas"
"Pardod kredita dzivokli Maskavas iela 149. Dzivoklis aiznem pusi","1",24,"P. kara",5800,3,3,"Maskavas priekspilseta","Maskavas 149","Maskavas"
"Âëàäåëåö ïðîäàåò 2-óþ êâàðòèðó, â Óñòü-Äâèíñêå, íà áåðåãó ðåêè,","2",54,"103.",39900,3,5,"Daugavgriva","Birzes 42","Birzes"
"Piedavaju iegadaties divu istabu dzivokli projekta Teikas Ozoli.","3",49,"Renov.",94000,1,1,"Teika","Ropazu 75A","Ropazu"
"Ïðîäà¸òñÿ 3õ êîìíàòíàÿ êâàðòèðà. Ñäåëàí ðåìîíò. 

Áåç äîëãîâ è î","3",55,"Hrusc.",61000,4,4,"Kengarags","Prusu 15","Prusu"
"Divistabu dzivoklis astonu dzivoklu eka, ar gazes apkuri. 



Pr","2",57,"P. kara",82000,3,3,"Mezaparks","Scecinas 2","Scecinas"
"Pardosana 4-istabu dzivoklis ar vietu autostavvieta daudzdzivokl","4",78,"Jaun.",174500,3,9,"Imanta","Akaciju 2D","Akaciju"
"Pardod dzivokli ar augstas klases apdari Rigas vesturiskaja cent","1",28,"Renov.",66960,7,7,"Centrs","Caka 30à","Caka"
"Ïîñëåäíÿÿ 4-õ êîìíàòíàÿ êâàðòèðà â ýòîì ïðîåêòå. 

Çàñòðîéùèê ïð","4",98,"Renov.",225170,3,5,"Centrs","Birznieka-Upisa 10","Birznieka"
"Ipasnieks pardod plasu studijas tipa 1-istabas dzivokli Sampeter","1",37,"Renov.",35900,1,3,"Sampeteris-Pleskodale","Ventspils 65A","Ventspils"
"Piedavajuma dzivoklis ar 3 izoletam istabam, Avotu un Matisa iel","3",71,"P. kara",90000,4,5,"Centrs","Matisa 85","Matisa"
"Pardod 2 istabu dzivokli 467. serija, maja celta 1972. gada. 

D","2",51,"467.",49350,7,9,"Maskavas priekspilseta","Maskavas 216","Maskavas"
"Ïðîäà¸òñÿ 4-êîìíàòíàÿ êâàðòèðà 112 êâ. ì. â Òèõîì öåíòðå. Òðè èç","4",112,"P. kara",230000,1,5,"Centrs","Alunana 213","Alunana"
"Piedavaju iegadaties divu istabu dzivokli projekta Teikas Ozoli.","2",35,"Renov.",70000,1,1,"Teika","Ropazu 75A","Ropazu"
"Piedavaju iegadaties divu istabu dzivokli projekta Teikas Ozoli.","2",44,"Renov.",93000,1,1,"Teika","Ropazu 75A","Ropazu"
"Ïðîäà¸ò õîçÿèí , ñîëíå÷íàÿ íå óãëîâàÿ êâàðòèðà. Ñäåëàí êîñìåòè÷å","1",29,"LT proj.",34000,1,5,"Purvciems","Stirnu 55","Stirnu"
"Pardod renovetu dzivokli ar gazes apkuri. 3 mazas gulamistabas (","4",80,"P. kara",240000,4,5,"Centrs","Terbatas 50","Terbatas"
"Pardosana majigs, gaiss un silts 2 istabu dzivoklis Jugla. Dzivo","2",45,"LT proj.",46500,1,5,"Jugla","Juglas 43","Juglas"
"Eng:



Great and tasteful apartment in the historical part of R","4",92,"P. kara",2e+05,4,5,"Centrs","Jekaba 26/28","Jekaba"
"Ïðåäëàãàåì î÷åíü óþòíóþ, õîðîøî ñïëàíèðîâàííóþ êâàðòèðó â öåíòðå","3",46,"P. kara",75000,1,4,"Centrs","Barona 80","Barona"
"Îäíîé èç ñàìûõ óâàæàåìûõ óëèö â Ðèãå ÿâëÿåòñÿ óëèöà Òåðáàòàñ.","3",68,"P. kara",136000,2,4,"Centrs","Terbatas 16/18","Terbatas"
"Pardots plass, gaiss un musdienigs 4 istabu dzivoklis ekskluziva","4",120,"Jaun.",295000,4,8,"Centrs","Hospitalu 23","Hospitalu"
"Lieliska lokacija, blakus stacijai Zolitude. Dzivoklis nav stura","4",92,"119.",78000,2,9,"Zolitude","Rostokas 64","Rostokas"
"Jusu uzmanibai tiek piedavats lielisks dzivoklis loti laba stavo","3",54,"Hrusc.",75000,1,1,"Sarkandaugava","Sofijas 4","Sofijas"
"Tiek pardots gaiss, silts un saulains divistabu dzivoklis Jugla","2",41,"Hrusc.",53000,2,5,"Jugla","Brivibas 391 k1","Brivibas"
"Plass cetristabu dzivoklis laba vieta. Dzivokli ir tris gulamist","4",90,"119.",80900,5,6,"Purvciems","Deglava 57","Deglava"
"Óíèêàëüíîå ïðåäëîæåíèå îò çàñòðîéùèêà - Ïðîäàþòñÿ Ñîâðåìåííûå Ëî","4",161,"Jaun.",245000,3,3,"Ilguciems","Dzirciema 31","Dzirciema"
"Ïðîäàåòñÿ êâàðòèðà â íîâîì ëîôò-ïðîåêòå, c ðåìîíòîì è ìåáåëüþ.","4",181,"Jaun.",310000,2,3,"Dzeguzkalns","Jaunsaules 1","Jaunsaules"
"Ïðîäàåòñÿ óíèêàëüíàÿ 2-óðîâíåâàÿ ñòóäèÿ â íîâîì ëîôò-ïðîåêòå. Êó","1",26,"Jaun.",57000,1,3,"Dzeguzkalns","Jaunsaules 1","Jaunsaules"
"Silts un gaiss 1-istabu dzivoklis Rigas centra tuvuma. Visas lab","1",24,"Stalina",22540,2,2,"Purvciems","Rubenu 9","Rubenu"
"Pardod dzivokli klusa vieta, blakus parkam, 5min lidz klusam cen","2",30,"P. kara",20780,2,2,"Centrs","Petersalas 17","Petersalas"
"Pardod dzivokli klusa vieta, parka zona, Katrinas dambi 24 k3, 3","3",66,"Stalina",55780,1,2,"Centrs","Katrinas d. 24","Katrinas"
"Silts un gaiss 1-istabu dzivoklis 20 min no Rigas centra. Blakus","1",14,"P. kara",5000,3,3,"Vecmilgravis","Emmas 14","Emmas"
"Silts un patikams 1-istabu dzivoklis 5 min no Rigas centra. Plas","1",24,"P. kara",11840,1,2,"Tornakalns","Vienibas g. 126","Vienibas"
"Centrala apkure. Visas labiericibas. Simtniece, kanalizacijas tr","2",46,"Specpr.",9570,2,2,"Jaunciems","Jaunciema g. 163","Jaunciema"
"Silts un gaiss 2-istabu dzivoklis 10 min no Rigas centra. Var te","2",40,"P. kara",10790,3,3,"Sarkandaugava","Kakasekla d. 20","Kakasekla"
"Gazes apkures tehniskie noteikumi. Otrais stavs , logi uz pagalm","2",32,"P. kara",23780,2,2,"Centrs","Varnu 4","Varnu"
"Majas dala, ar lielisku skatu, atseviska ieeja. Gazes apkures te","4",74,"P. kara",24680,2,2,"Centrs","Dzirnavu 171","Dzirnavu"
"Gazes apkures tehniskie noteikumi. Parkets. Pagalms, vieta autom","3",61,"P. kara",43780,2,2,"Centrs","Miera 32","Miera"
"Pec kapitala remonta. Visas ertibas. Dzivoklis izvietots mura ma","1",23,"P. kara",33000,2,5,"Maskavas priekspilseta","Lacplesa 118","Lacplesa"
"Óþòíàÿ êâàðòèðêà ñòóäèéíîãî òèïà. 

Áåç äîëãîâ è îáðåìåíåíèé.","1",25,"M. gim.",26000,5,5,"Ilguciems","Motoru 3","Motoru"
"Pardodu lielisku divistabu dzivokli, pasa Kengaraga promenades k","2",45,"Hrusc.",47250,1,5,"Kengarags","Maskavas 268/7","Maskavas"
"Ïðîäàþ òðåõêîìíàòíóþ êâàðòèðó, ðàñïîëîæåííóþ íà âòîðîì ýòàæå äâó","3",79,"Stalina",81000,2,2,"Sarkandaugava","Viestura pr. 85","Viestura"
"Vienistabas dzivoklis mura maja. Pakesu logi, dzelzs durvis. Pla","1",23,"P. kara",14900,3,3,"Sarkandaugava","Priezu 6","Priezu"
"Êâàðòèðà ðàñïîëîæåíà â ðàéîíå Äîìèíû, ðàçâèòà èíôðàñòðóêòóðà, ìà","1",40,"M. gim.",33000,1,5,"Purvciems","Braslas 23","Braslas"
"Piedavajam iegadei ekskluzivu dzivokli pasa pilsetas centra, ves","1",21,"Renov.",79000,3,5,"Centrs","Barona 14","Barona"
"Ïðîäàåòñÿ 2-õ êîìíàòíàÿ êâàðòèðà â ñîâðåìåííîì ïðîåêòå Ìåòðîïîëè","2",57,"Jaun.",101000,9,14,"Imanta","Anninmuizas 38/2","Anninmuizas"
"Rekonstruetaja vesturiskaja jugenstila nama tiek pardots plass t","3",135,"Renov.",430000,6,6,"Centrs","Terbatas 38","Terbatas"
"Ïðîäà¸òñÿ 2-êîìíàòíàÿ êâàðòèðà íà 9 ýòàæå. Áåç ðåìîíòà. Îáùàÿ ïë","2",49,"467.",53500,9,9,"Purvciems","Ilukstes 107/2","Ilukstes"
"Tiek pardots Gaiss, majigs mebelets, ar svaigu remontu , divista","2",43,"LT proj.",47000,1,5,"Jugla","Silciema 13","Silciema"
"Pardod 1 istabas dzivokli Ilguciema, Saulgozu iela 21. Dzivoklis","1",30,"Hrusc.",32000,5,5,"Ilguciems","Saulgozu 21","Saulgozu"
"Ipasnieks pardod parplanotu 3- istabu dzivokli pec tikko pabeigt","3",55,"LT proj.",60000,5,5,"Kengarags","Maltas 21","Maltas"
"Majigs, labiekartots un pilniba mebelets dzivoklis prestizaja pr","3",60,"Jaun.",144000,3,7,"Centrs","Republikas laukums 3","Republikas"
"Ïðîäà¸òñÿ 2-õ êîìíàòíàÿ êâàðòèðà. Íå óãëîâàÿ, ñîëíå÷íàÿ. 5 ýòàæ","2",51,"602.",62000,5,9,"Imanta","Kurzemes pr. 152","Kurzemes"
"Ïðîäà¸òñÿ ñóõàÿ, ñîëíå÷íàÿ, íåóãëîâàÿ 2õ êîìíàòíàÿ êâàðòèðà.","2",50,"602.",43000,1,9,"Plavnieki","Slavu 15","Slavu"
"Piedavajam iegadaties briniskigu dzivokli viena no skaistakajiem","6",180,"P. kara",275000,2,3,"Mezaparks","Meza pr. 76","Meza"
"Ipasnieks pardod 2 istabu dzivokli ar kvalitativu pilno apdari.","2",60,"P. kara",119000,3,6,"Grizinkalns","Pernavas 65","Pernavas"
"Pardod 2istabu dzivokli pec kapitala remonta. Istabas caurstaiga","2",41,"Hrusc.",67000,5,5,"Centrs","Malpils 2","Malpils"
"Ipasnieks pardod 4-istabu dzivokli ar skatu no putna lidojuma.","4",87,"P. kara",155000,6,6,"Centrs","Gertrudes 110","Gertrudes"
"Pardodam 2 istabu dzivokli Caka 33, pie Blaumana ielas. Skaista","2",46,"Renov.",98000,3,6,"Centrs","Caka 33","Caka"
"Pardodam plasu 3-istabu dzivokli lieliska vieta- Rigas Centra, B","3",87,"Renov.",220000,4,6,"Centrs","Barona 36","Barona"
"Pardod gaisu un lielisku 2 istabu dzivokli, 1. stava Aleksandra","2",82,"Jaun.",189000,1,6,"Centrs","Caka 96","Caka"
"Íàñëàæäàéñÿ ïðåëåñòÿìè ãîðîäñêîé æèçíè, íàõîäÿòü â åå ýïèöåíòðå","3",90,"Jaun.",285000,4,7,"Centrs","Dzirnavu 81","Dzirnavu"
"Íàñëàæäàéñÿ ïðåëåñòÿìè ãîðîäñêîé æèçíè, íàõîäÿòü â åå ýïèöåíòðå","3",87,"Jaun.",290000,7,7,"Centrs","Dzirnavu 81","Dzirnavu"
"Pardosana nonacis lielisks 3 istabu dzivoklis. 

Perspektiva kok","3",50,"P. kara",49500,2,2,"Centrs","Eveles 5","Eveles"
"Renoveta nama Kr. Barona iela 30 pieejams 3 istabu dzivoklis.","3",95,"Renov.",225000,2,6,"Centrs","Barona 30","Barona"
"Saimnieks pardot gaisu, majigu un siltu dzivokli. 

Izdeviga atr","3",58,"467.",62000,5,9,"Kengarags","Ikskiles 2","Ikskiles"
"Ïðîäàåòñÿ ñâåòëàÿ ñîëíå÷íàÿ êâàðòèðà-ñòóäèÿ â õîðîøåì ñîñòîÿíèè,","1",31,"P. kara",28000,3,6,"Sarkandaugava","Duntes 56","Duntes"
"Âëàäåëåö ïðîäà¸ò cóõóþ è ÷èñòóþ êâàðòèðó â òèõîì ñïàëüíîì ðàéîíå","1",43,"M. gim.",31900,1,5,"Purvciems","Sesku 11","Sesku"
"Pardod loti gaumigu un majigu 2 istabu dzivokli blakus Maskavas","2",42,"Hrusc.",56000,3,5,"Maskavas priekspilseta","Virsaisu 9","Virsaisu"
"Tiek pardots divistabu dzivoklis ar iebuvetu virtuves iekartu un","2",36,"Renov.",75000,4,5,"Centrs","Maskavas 48a","Maskavas"
"Trisistabu dzivoklis atrodas atjaunota tris eku kompleksa ""Reder","3",54,"Renov.",118000,5,5,"Centrs","Maskavas 48","Maskavas"
"Izremontets dzivoklis ar lodziju viena no vislabakajiem Merks","3",84,"Jaun.",144900,3,4,"Mezciems","Kaivas 29 k-4","Kaivas"
"Ïðîäàåòñÿ ïðîñòîðíàÿ è ñâåòëàÿ êâàðòèðà â Çåïíèåêàëíñå. 2 ýòàæ.","2",39,"Hrusc.",39000,2,4,"Ziepniekkalns","Saulkalnes 9","Saulkalnes"
"Pardod dzivokli tikko pec renovacijas. Dzivokli neviens nav dziv","1",30,"Renov.",57000,3,5,"Centrs","Tallinas 90B","Tallinas"
"Pardod 2-istabu dzivokli centra, Zvaigznu iela 31. Dzivoklis sas","2",38,"P. kara",22500,3,3,"Centrs","Zvaigznu 31","Zvaigznu"
"Ïðîäà¸òñÿ äâóõêîìíàòíàÿ êâàðòèðà ñ áàëêîíîì, íà ÷åòâ¸ðòîì ýòàæå","2",45,"LT proj.",48000,4,5,"Jugla","Juglas 47","Juglas"
"Remontets un gaiss 1-istabas dzivoklis Ilguciema. Eka nodota eks","1",44,"Specpr.",42999,7,9,"Ilguciems","V. Bullu 14","V"
"Ïðåäëàãàåòñÿ ê ïðîäàæå 2-êîìí. ñâåòëàÿ, íå óãëîâàÿ êâàðòèðà ñ ëî","2",49,"LT proj.",41000,1,5,"Ilguciems","Riekstu 13","Riekstu"
"Êðàñèâàÿ, ïðîñòîðíàÿ è ñâåòëàÿ êâàðòèðà â ñàìîì öåíòðå ãîðîäà.","5",182,"P. kara",366111,4,5,"Centrs","Noliktavas 1","Noliktavas"
"Steidzami pardod dzivokli, divas gulamistabas izoletas, viesista","3",49,"P. kara",115000,3,3,"Vecriga","Vagnera 12","Vagnera"
"2019. gada labakais jaunais projekts , Club Central Residence ","2",70,"Jaun.",266380,3,6,"Centrs","Lacplesa 11","Lacplesa"
"Ipasnieks pardod divistabu dzivokli otraja stava, kiegelu maja k","2",42,"Hrusc.",51000,2,5,"Ziepniekkalns","Ziepju 5 k-1","Ziepju"
"Pardod modernu un saulainu dzivokli Rigas Centra. 



Dzivoklis","3",73,"P. kara",123000,2,4,"Centrs","Dzirnavu 115","Dzirnavu"
"Pardodu plasu 3 istabu dzivokli Centra. Visas istabas izoletas.","3",87,"P. kara",95000,2,5,"Centrs","Gertrudes 69","Gertrudes"
"Ïðîäàåòñÿ ïðîñòîðíàÿ äâóõýòàæíàÿ êâàðòèðà â æèëîì êîìïëåêñå ""Var","5",218,"Jaun.",220000,3,4,"Zolitude","Gramzdas 80","Gramzdas"
"Pardod divistabu dzivokli, kas sagatavots remonta uzsaksanai ar","2",35,"P. kara",34999,1,5,"Centrs","Brivibas 133","Brivibas"
"Pedejie 10 dzivokli saja projekta. 



2 istabu dzivoklis no Att","2",52,"Renov.",135980,2,6,"Centrs","Lacplesa 24","Lacplesa"
"3 istabu dzivoklis pa tieso no attistitaja, pilniba rekonstrueta","3",74,"Renov.",210000,3,6,"Centrs","Lacplesa 24","Lacplesa"
"Elegants, gaiss un plass 3-istabu dzivoklis jauna projekta eka.","3",99,"Jaun.",159000,1,6,"Imanta","Progresa 3","Progresa"
"Pardod 1-istabu dzivokli Pleskodale. Atseviska ieeja. Krasns apk","1",32,"P. kara",11500,1,2,"Sampeteris-Pleskodale","Kalnciema 155","Kalnciema"
"Ïðîäà¸òñÿ ñîëíå÷íàÿ , ò¸ïëàÿ äâóõêîìíàòíàÿ êâàðòèðà, êîìíàòû èçî","2",50,"602.",64000,2,9,"Mezciems","Druvienas 36","Druvienas"
"Ïðîäàåòñÿ êâàðòèðà, 2 ðàçäåëüíûå êîìíàòû , áàëêîí, 3 ýòàæ. Áîëüø","2",48,"Hrusc.",48000,3,5,"Ciekurkalns","Gaujas 32","Gaujas"
"Pardod vienistabas dzivokli Sampeteri. Pie majas ir stavvietas.","1",34,"Specpr.",46000,1,2,"Sampeteris-Pleskodale","Zalves 13 K2","Zalves"
"Ipasnieks pardod plasu 2-istabu dzivokli, kas bus piemerots ari","2",69,"P. kara",95910,1,5,"Centrs","Tallinas 79","Tallinas"
"Ipasnieks pardod. Eka atrodas viena no labakajam vietam- pasa Ri","3",105,"Renov.",220500,6,6,"Centrs","Raina bulv. 3","Raina"
"Lielisks dzivoklis lieliska vieta. Pardod klasiska stila 6 -ista","6",199,"Renov.",399000,4,6,"Centrs","Raina bulv. 3","Raina"
"Pardodu Zemes gramata ierakstitu saulainu 3 istabu dzivokli Plav","3",63,"602.",63600,4,9,"Plavnieki","Salnas 7","Salnas"
"Âîçìîæåí îáìåí íà áîëüøóþ êâàðòèðó ñ ìîåé äîïëàòîé. Êâàðòèðà ïîñ","1",18,"M. gim.",20000,2,5,"Teika","Burtnieku 33","Burtnieku"
"Âîçìîæåí îáìåí íà áîëüøóþ êâàðòèðó ñ ìîåé äîïëàòîé. Îòäåëüíàÿ êâ","1",19,"M. gim.",20000,2,5,"Purvciems","Burtnieku 33","Burtnieku"
"Pardosana saulains, gaiss un plass 3-istabu dzivoklis Kengaraga,","3",59,"LT proj.",48000,2,5,"Kengarags","Aglonas 14","Aglonas"
"Ipasnieks pardod tikko izremontetu 2 istabu dzivokli vecaja Ziep","2",40,"Hrusc.",57000,2,4,"Ziepniekkalns","Ziepju 5 k1","Ziepju"
"Gaumigi iecel nav stura dzivoklis ar balkonu, ar aprikota virtuv","2",47,"LT proj.",40500,4,5,"Kengarags","Maskavas 256/4","Maskavas"
"Pardodu Zemes gramata ierakstitu saulainu 3 istabu dzivokli Plav","3",63,"602.",63600,4,9,"Plavnieki","Salnas 7","Salnas"
"Pardod plasu un saulainu divistabu dzivokli mieriga Rigas rajona","2",55,"Jaun.",95150,3,6,"Teika","Araisu 38","Araisu"
"Piedavajam mebeletu 2 istabu dzivokli jaunaja projekta ar balkon","2",47,"Jaun.",88900,8,9,"Plavnieki","Salnas 21","Salnas"
"Ipasnieks pardod vienistabas dzivokli Agenskalna. Mura maja, lie","1",26,"P. kara",10000,2,2,"Agenskalns","Altonavas 17","Altonavas"
"Ïðîäà¸òñÿ óþòíàÿ îäíîêîìíàòíàÿ êâàðòèðà íà áåðåãó îçåðà. Ðÿäîì à","1",25,"M. gim.",18500,1,5,"Jaunciems","Jaunciema g. 147a","Jaunciema"
